aqi,city_name,city_url,co,crawl_time,date,level,no_2,o3,pm10,pm2_5,so_2,spider
,海北州,https://www.aqistudy.cn/historydata/monthdata.php?city=海北州,,,,,,,,,,
,河池,https://www.aqistudy.cn/historydata/monthdata.php?city=河池,,,,,,,,,,
,邯郸,https://www.aqistudy.cn/historydata/monthdata.php?city=邯郸,,,,,,,,,,
,海东地区,https://www.aqistudy.cn/historydata/monthdata.php?city=海东地区,,,,,,,,,,
,哈尔滨,https://www.aqistudy.cn/historydata/monthdata.php?city=哈尔滨,,,,,,,,,,
,合肥,https://www.aqistudy.cn/historydata/monthdata.php?city=合肥,,,,,,,,,,
,黄冈,https://www.aqistudy.cn/historydata/monthdata.php?city=黄冈,,,,,,,,,,
,鹤岗,https://www.aqistudy.cn/historydata/monthdata.php?city=鹤岗,,,,,,,,,,
,红河州,https://www.aqistudy.cn/historydata/monthdata.php?city=红河州,,,,,,,,,,
,怀化,https://www.aqistudy.cn/historydata/monthdata.php?city=怀化,,,,,,,,,,
,黑河,https://www.aqistudy.cn/historydata/monthdata.php?city=黑河,,,,,,,,,,
,呼和浩特,https://www.aqistudy.cn/historydata/monthdata.php?city=呼和浩特,,,,,,,,,,
,海口,https://www.aqistudy.cn/historydata/monthdata.php?city=海口,,,,,,,,,,
,呼伦贝尔,https://www.aqistudy.cn/historydata/monthdata.php?city=呼伦贝尔,,,,,,,,,,
,葫芦岛,https://www.aqistudy.cn/historydata/monthdata.php?city=葫芦岛,,,,,,,,,,
,海门,https://www.aqistudy.cn/historydata/monthdata.php?city=海门,,,,,,,,,,
,哈密地区,https://www.aqistudy.cn/historydata/monthdata.php?city=哈密地区,,,,,,,,,,
,淮南,https://www.aqistudy.cn/historydata/monthdata.php?city=淮南,,,,,,,,,,
,黄南州,https://www.aqistudy.cn/historydata/monthdata.php?city=黄南州,,,,,,,,,,
,海南州,https://www.aqistudy.cn/historydata/monthdata.php?city=海南州,,,,,,,,,,
,黄山,https://www.aqistudy.cn/historydata/monthdata.php?city=黄山,,,,,,,,,,
,衡水,https://www.aqistudy.cn/historydata/monthdata.php?city=衡水,,,,,,,,,,
,黄石,https://www.aqistudy.cn/historydata/monthdata.php?city=黄石,,,,,,,,,,
,和田地区,https://www.aqistudy.cn/historydata/monthdata.php?city=和田地区,,,,,,,,,,
,海西州,https://www.aqistudy.cn/historydata/monthdata.php?city=海西州,,,,,,,,,,
,衡阳,https://www.aqistudy.cn/historydata/monthdata.php?city=衡阳,,,,,,,,,,
,河源,https://www.aqistudy.cn/historydata/monthdata.php?city=河源,,,,,,,,,,
,湖州,https://www.aqistudy.cn/historydata/monthdata.php?city=湖州,,,,,,,,,,
,汉中,https://www.aqistudy.cn/historydata/monthdata.php?city=汉中,,,,,,,,,,
,杭州,https://www.aqistudy.cn/historydata/monthdata.php?city=杭州,,,,,,,,,,
,贺州,https://www.aqistudy.cn/historydata/monthdata.php?city=贺州,,,,,,,,,,
,菏泽,https://www.aqistudy.cn/historydata/monthdata.php?city=菏泽,,,,,,,,,,
,惠州,https://www.aqistudy.cn/historydata/monthdata.php?city=惠州,,,,,,,,,,
